NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
[Experiment Details],,
Software Version,NTA 3.4 Build 3.4.003,
Experiment Name,stdv34_.nano,
Operator Name,,
Time Captured,11:52:04  16/06/2020,
Sample Description,100nmbeads,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,stdv34_00,stdv34_01,stdv34_02,stdv34_03,stdv34_04,
Processed,Yes,Yes,Yes,Yes,Yes,

[Conditions],,,,,,
Temperature/C,22.000,22.000,22.000,22.000,22.000,
Viscosity/cP,0.952941,0.952941,0.952941,0.952941,0.952941,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,
Camera Level,11,11,11,11,11,
Slider Shutter,890,890,890,890,890,
Slider Gain,146,146,146,146,146,
Shutter/ms,22.250000,22.250000,22.250000,22.250000,22.250000,
Camera Histogram Upper Limit,16380,16380,16380,16380,16380,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,14.7134,14.3317,14.7233,14.6632,14.8297,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,499,499,499,499,499,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),1.00e+04,1.00e+04,1.00e+04,1.00e+04,1.00e+04,,,
Concentration (Particles / ml),5.91e+12,6.05e+12,6.01e+12,6.25e+12,6.24e+12,6.09e+12,6.67e+10,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,109.7,112.6,111.7,116.2,116.1,113.3,1.3,
Centres per frame,99.4,102.6,99.9,103.6,103.2,101.7,0.9,
Completed tracks,4677,4571,4470,4512,4655,,,
X-Drift (pix/frame),-3.8,-3.9,-4.0,-3.9,-3.9,,,
Y-Drift (pix/frame),-0.0,-0.1,-0.0,-0.0,0.0,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Moderate vibration,Minor vibration,Moderate vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,stdv34_00,stdv34_01,stdv34_02,stdv34_03,stdv34_04,Average,Standard Error,
Mean,100.5,103.0,101.5,101.5,101.2,101.5,0.4,
Mode,94.9,98.2,101.8,99.3,97.9,98.4,1.1,
SD,11.0,18.5,12.0,12.0,10.5,12.8,1.5,
D10,88.1,89.2,88.1,88.1,90.1,88.7,0.4,
D50,98.6,99.7,101.0,100.2,99.6,99.8,0.4,
D90,116.7,117.8,113.4,115.0,113.6,115.3,0.9,
Valid Tracks,1872.0,1898.0,1879.0,1948.0,1929.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,149,0,0,0,0,30,30,
18.5,11952,0,0,0,0,2390,2390,
19.5,396157,0,0,0,0,79231,79231,
20.5,5984685,0,0,0,0,1196937,1196937,
21.5,44862773,0,0,0,0,8972555,8972555,
22.5,180157939,0,0,0,0,36031588,36031588,
23.5,415533689,0,0,0,0,83106738,83106738,
24.5,586929092,0,0,0,0,117385818,117385818,
25.5,538876078,0,0,0,0,107775216,107775216,
26.5,340152304,0,0,0,0,68030461,68030461,
27.5,155702336,0,0,0,0,31140467,31140467,
28.5,54398507,0,0,0,0,10879701,10879701,
29.5,15243284,0,0,0,0,3048657,3048657,
30.5,3595463,0,0,0,0,719093,719093,
31.5,748426,0,0,0,0,149685,149685,
32.5,143999,4,0,0,0,28801,28800,
33.5,26791,50,0,0,0,5368,5356,
34.5,5035,567,0,0,0,1121,985,
35.5,997,5198,0,3,0,1239,1008,
36.5,216,38600,0,10,0,7765,7709,
37.5,53,231524,0,29,0,46321,46301,
38.5,15,1122354,0,68,0,224487,224467,
39.5,5,4413510,0,135,0,882730,882695,
40.5,2,14169372,0,235,0,2833922,2833862,
41.5,1,37468660,0,366,0,7493805,7493714,
42.5,0,82505075,0,524,0,16501120,16500989,
43.5,0,153213345,0,702,0,30642810,30642634,
44.5,0,243362037,0,901,0,48672588,48672362,
45.5,0,335723229,0,1123,8,67144872,67144589,
46.5,0,408769023,0,1382,71,81754096,81753732,
47.5,2,446654164,0,1698,538,89331280,89330721,
48.5,3,445444275,0,2105,3302,89089937,89088584,
49.5,6,412334435,1,2650,16527,82470724,82465928,
50.5,14,360158180,2,3410,68085,72045938,72028062,
51.5,32,301581314,6,4499,233510,60363872,60304377,
52.5,80,245741309,15,6103,675509,49284603,49114350,
53.5,203,197572340,38,8522,1672184,39850658,39431746,
54.5,522,158706571,98,12250,3597127,32463314,31568482,
55.5,1340,128796603,253,18123,6833258,27129916,25451029,
56.5,3402,106612597,653,27579,11652518,23659350,20860493,
57.5,8481,90735635,1680,43131,18131482,21784082,17591158,
58.5,20662,79910453,4302,69269,26157852,21232507,15517445,
59.5,49023,73184444,10945,114155,35526330,21776979,14572087,
60.5,113081,69941331,27637,192912,46075123,23270017,14675301,
61.5,253444,69900649,69212,334073,57809120,25673300,15704433,
62.5,552149,73124712,171805,592384,70984021,29085014,17545583,
63.5,1170544,80058640,422472,1074485,86158756,33776979,20163083,
64.5,2418566,91624337,1028216,1990692,104242798,40260922,23630214,
65.5,4879257,109393212,2473351,3759542,126569382,49414949,28126106,
66.5,9629059,135873091,5868168,7217797,155023756,62722374,33913590,
67.5,18621153,174961681,13693193,14037237,192255477,82713748,41289970,
68.5,35340496,232641527,31313675,27534985,242009913,113768119,50479018,
69.5,65899556,318018425,69878990,54201526,309628070,163525313,61427294,
70.5,120825605,444832377,151458782,106462660,402786327,245273150,73549631,
71.5,217888868,633588541,317275322,207398266,532579208,381746041,85900548,
72.5,386416070,914449671,639244565,398230635,715089619,610686112,99855485,
73.5,673579848,1330979577,1233253131,749105365,973641109,992111806,129196829,
74.5,1153068678,1944704549,2269626218,1372663693,1341980755,1616408779,210223404,
75.5,1936204694,2840248655,3973194982,2437918941,1868686359,2611250726,383696827,
76.5,3184854809,4130501707,6604781854,4179315137,2623100872,4144510876,681541233,
77.5,5124289293,5960932452,10420509948,6893786021,3703022969,6420508137,1129161751,
78.5,8052550472,8511842300,15615304285,10919084609,5244152979,9668586929,1738568945,
79.5,12341243960,11997175306,22267904841,16591127958,7430814238,14125653261,2499102147,
80.5,18421631631,16658567444,30309312847,24186053448,10506649565,20016442987,3373305083,
81.5,26750405559,22753699910,39529969510,33860806141,14782795533,27535535331,4301105981,
82.5,37752389978,30538705696,49625482714,45609759880,20639575341,36833182722,5212338960,
83.5,51742900148,40245263918,60265032189,59251257365,28516392091,48004169142,6044741228,
84.5,68839753832,52053932596,71159307727,74448216239,38883938747,61077029828,6762582395,
85.5,88881935942,66066032604,82108534368,90755760621,52194006384,76001253984,7370210206,
86.5,111375861281,82276861063,93021699393,107681349704,68805930116,92632340311,7914788803,
87.5,135488576631,100553124889,103908882168,124741680500,88895275469,110717507932,8473975330,
88.5,160099176260,120617280445,114855014944,141504872863,112358676929,129887004288,9129296110,
89.5,183906646081,142041044137,125984639671,157613103888,138736207711,149656328298,9934749556,
90.5,205577982060,164249813613,137425073998,172786903214,167175736190,169443101815,10895356517,
91.5,223909384370,186539176485,149272278153,186816029145,196459383373,188599250305,11963740594,
92.5,237969372390,208104065050,161561313490,199543005607,225099783272,206455507962,13051286871,
93.5,247197135800,228080337433,174242229871,210844738833,251496203360,222372129059,14047142463,
94.5,251440729453,245597484934,187162346658,220616117539,274123459557,235788027628,14841633289,
95.5,250934023449,259839688568,200056638731,228757889040,291716299046,246260907767,15351879423,
