NTA Experiment Summary File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created with NTA 3.2 Dev Build 3.2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Experiment Details],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Version,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,nanosight_data.nano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Captured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remarks,"Created from combined experiments: mG15.5_yes_500_.nano, mG15.5_no_500_.nano, 400_yes_50_.nano, 400_no_50_.nano, 200_yes_125_.nano, 200_no_125_.nano, fluorx100_no_125_.nano, fluorx100_yes_125_.nano, fluor_no_125_.nano, fluor_yes_125_.nano, 100_no_125_.nano, 100_yes_125_.nano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename:,mG15.5_yes_500_00,mG15.5_yes_500_01,mG15.5_yes_500_02,mG15.5_no_500_00,mG15.5_no_500_01,mG15.5_no_500_02,400_yes_50_00,400_yes_50_01,400_yes_50_02,400_no_50_00,400_no_50_01,400_no_50_02,200_yes_125_00,200_yes_125_01,200_yes_125_02,200_no_125_00,200_no_125_01,200_no_125_02,fluorx100_no_125_00,fluorx100_no_125_01,fluorx100_no_125_02,fluorx100_yes_125_00,fluorx100_yes_125_01,fluorx100_yes_125_02,fluor_no_125_00,fluor_no_125_01,fluor_no_125_02,fluor_yes_125_00,fluor_yes_125_01,fluor_yes_125_02,100_no_125_00,100_no_125_01,100_no_125_02,100_yes_125_00,100_yes_125_01,100_yes_125_02,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Conditions],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature/C,23.616,23.626,23.636,23.575,23.588,23.599,23.572,23.583,23.62,23.589,23.565,23.57,23.368,23.38,23.421,23.316,23.326,23.335,23.21,23.222,23.204,23.114,23.131,23.147,23.045,23.053,23.034,22.933,22.951,22.969,22.388,22.411,22.461,22.194,22.23,22.292,,
Viscosity/cP,0.917443,0.91723,0.917017,0.918317,0.91804,0.917805,0.918381,0.918147,0.917358,0.918019,0.918531,0.918424,0.922752,0.922494,0.921614,0.923872,0.923656,0.923462,0.92616,0.925901,0.92629,0.928241,0.927872,0.927525,0.929741,0.929567,0.929981,0.932184,0.931791,0.931398,0.94422,0.943707,0.942594,0.948565,0.947756,0.946366,,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,,
Laser Type,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,Blue488,,
Camera Level,16,16,16,12,12,12,15,15,15,10,10,10,15,15,15,10,10,10,10,10,10,15,15,15,10,10,10,15,15,15,10,10,10,15,15,15,,
Slider Shutter,1300,1300,1300,1200,1200,1200,1206,1206,1206,696,696,696,1206,1206,1206,696,696,696,696,696,696,1206,1206,1206,696,696,696,1206,1206,1206,696,696,696,1206,1206,1206,,
Slider Gain,512,512,512,146,146,146,366,366,366,73,73,73,366,366,366,73,73,73,73,73,73,366,366,366,73,73,73,366,366,366,73,73,73,366,366,366,,
Shutter/ms,32.5,32.5,32.5,30,30,30,30.15,30.15,30.15,17.4,17.4,17.4,30.15,30.15,30.15,17.4,17.4,17.4,17.4,17.4,17.4,30.15,30.15,30.15,17.4,17.4,17.4,30.15,30.15,30.15,17.4,17.4,17.4,30.15,30.15,30.15,,
Camera Histogram Upper Limit,2470,2470,2470,11529,11529,11529,3294,3294,3294,16380,16380,16380,3294,3294,3294,16380,16380,16380,16380,16380,16380,3294,3294,3294,16380,16380,16380,3294,3294,3294,16380,16380,16380,3294,3294,3294,,
Camera Histogram Lower Limit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,24.9825,,
Syringe Pump Speed/AU,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Settings],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection Threshold,3,3,3,4,4,4,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,,
Max Jump Distance,14.2286,14.2286,14.2286,14.0698,14.3572,13.7805,12,12,12,11.1704,11.0091,14.8653,14.2286,14.2286,14.2286,12.171,12.44,11.4178,13.3892,13.3238,13.4238,11.7745,11.1247,12.3826,15.1607,14.8285,14.9646,13.9544,13.9718,13.8638,14.9872,14.7485,14.8094,14.2286,14.2286,14.2286,,
Blur,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,,
Min Track Length,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,,
First frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Total frames analysed,749,749,749,749,749,749,0,0,0,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Exclusion Regions],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Exclusion Regions Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Results],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,Standard Error
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,
Concentration (Particles / ml),953000,0,0,258000000,230000000,227000000,0,0,0,78000000,58500000,75300000,0,0,2080000,107000000,106000000,75100000,346000000,317000000,331000000,301000000,266000000,241000000,233000000,213000000,211000000,363000000,313000000,263000000,305000000,296000000,278000000,0,0,0,153000000,22300000
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Particles per frame,0.2,0,0,41,38.1,37.3,0,0,0,13.9,10.4,13.4,0,0,0.1,19.2,18.9,13.4,57.5,51.8,55,27.3,25.5,22.2,34.1,31.5,30.2,34.4,29.2,24.9,47.2,45.7,40.5,0,0,0,21.2,3.1
Centres per frame,1.1,0.9,0.9,41.4,38.4,37.6,0,0,0,16.6,11.7,16.4,0,0,0.1,21.7,22.2,14.6,55.5,50,53,27.5,25.8,22.4,33.3,30.9,29.5,34,29,24.9,45,43.6,39.3,0,0,0,21.3,3
